ID da fila;ID do pedido;Data do pedido;Data de envio;Modo de envio;ID do cliente;Nome do cliente;Segmento;Cidade;Estado;País/Região;Região;ID do produto;Categoria;Sub-categoria;Nome do produto;Vendas;Quantidade;Desconto;Lucro
1;MX-2021-143658;02/10/2021;06/10/2021;Classe padrão;SR-20575;Sofia Rocha;Varejo;Cidade do México;Distrito Federal;México;Norte;MAT-ET-10001014;Material de escritório;Etiquetas;HON Etiquetas para organização de pastas, Ajustável;130,8;3;0;45,6
2;MX-2019-155047;16/10/2019;21/10/2019;Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MÓV-MÓ-10004592;Móveis;Móveis;Tenex Relógio de parede, Durável;2521,6;8;0;907,2
3;MX-2019-155047;16/10/2019;21/10/2019;Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MÓV-ES-10000849;Móveis;Estantes;Ikea Gaveteiro, Branco;1932,8;2;0;540,8
4;MX-2019-155047;16/10/2019;21/10/2019;Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MAT-FI-10003284;Material de escritório;Fichários;Cardinal Pasta argolada, Transparente;354,4;4;0;49,6
5;MX-2019-155047;16/10/2019;21/10/2019;Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MAT-AR-10002762;Material de escritório;Arte;Sanford Tela, Tamanhos variados;716;2;0;114,4
6;MX-2019-155047;16/10/2019;21/10/2019;Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MAT-EN-10000610;Material de escritório;Envelopes;GlobeWeis Com lacre, Vermelho;561,2;2;0;213,2
7;MX-2020-134096;28/09/2020;02/10/2020;Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;MAT-EN-10000610;Material de escritório;Envelopes;GlobeWeis Com lacre, Vermelho;561,2;2;0;213,2
8;MX-2020-134096;28/09/2020;02/10/2020;Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;TEC-MÁ-10001040;Tecnologia;Máquinas;Konica Impressora de crachás, Vermelho;3446,4;3;0;1654,2
9;MX-2020-134096;28/09/2020;02/10/2020;Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;MAT-MA-10001660;Material de escritório;Materiais;Elite Estilete, Industrial;973,6;4;0;194,4
10;MX-2020-134096;28/09/2020;02/10/2020;Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;TEC-AC-10004490;Tecnologia;Acessórios;Enermax Roteador, Reciclado;3415,2;2;0;136,4
11;MX-2020-134096;28/09/2020;02/10/2020;Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;MAT-FI-10001314;Material de escritório;Fichários;Wilson Jones Reforço para fichário, Durável;120,6;3;0;34,8
12;MX-2020-156335;06/03/2020;13/03/2020;Classe padrão;VC-21250;Vinícius Cardoso;Varejo;Managua;Managua;Nicarágua;Central;MAT-CO-10002112;Material de escritório;Colchetes;Accos Grampos, Embalagem com 12;207,6;3;0;95,4
13;MX-2020-156335;06/03/2020;13/03/2020;Classe padrão;VC-21250;Vinícius Cardoso;Varejo;Managua;Managua;Nicarágua;Central;MÓV-CA-10004486;Móveis;Cadeiras;HON Cadeira dobrável, Preto;2106,4;4;0;504,8
14;MX-2021-121923;24/09/2021;01/10/2021;Classe padrão;MC-18910;Melissa Cunha;Pequenas e Medias Empresas;Managua;Managua;Nicarágua;Central;MAT-EN-10001401;Material de escritório;Envelopes;Kraft Com lacre, Prata;801;3;0;376,2
